product_id,product_title,product_type,sizes,fit_guide,material,measurements_json
prod_00012,Heritage Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00013,Utility Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00014,Emblem Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00015,Track Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00016,Washed Logo Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00017,Mesh Panel Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00018,Boxy Crop Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00019,Linen Blend Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00020,Summer Knit Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00021,Boardshort Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00022,Fleece Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00023,Brushed Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00024,Varsity Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00025,Wool Blend Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00026,Mid Runner Trainer,Trainer,"UK6,UK7,UK8,UK9,UK10,UK11,UK12,UK13",True to size. Court shoe with standard width.,Leather/suede,"{'UK6': {'length_cm': 24.5, 'width_cm': 10}, 'UK7': {'length_cm': 25.0, 'width_cm': 10.1}, 'UK8': {'length_cm': 25.5, 'width_cm': 10.2}, 'UK9': {'length_cm': 26.0, 'width_cm': 10.3}, 'UK10': {'length_cm': 26.5, 'width_cm': 10.4}, 'UK11': {'length_cm': 27.0, 'width_cm': 10.5}, 'UK12': {'length_cm': 27.5, 'width_cm': 10.6}, 'UK13': {'length_cm': 28.0, 'width_cm': 10.7}}"
prod_00027,Quilted Overshirt,Outerwear,"XS,S,M,L,XL,XXL",Tailored fit. Consider sizing up for layering.,Nylon/polyester,"{'XS': {'chest_cm': 48, 'length_cm': 62, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 64, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 66, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 68, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 70, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 72, 'sleeve_cm': 25}}"
prod_00028,Puffer Jacket,Outerwear,"XS,S,M,L,XL,XXL",Tailored fit. Consider sizing up for layering.,Nylon/polyester,"{'XS': {'chest_cm': 48, 'length_cm': 62, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 64, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 66, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 68, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 70, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 72, 'sleeve_cm': 25}}"
prod_00029,Sherpa Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00030,Thermal Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00031,Winter Logo Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00032,Garment Dyed Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00033,Zip Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00034,Cropped Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00035,Cord Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00036,Canvas Trainer,Trainer,"UK6,UK7,UK8,UK9,UK10,UK11,UK12,UK13",True to size. Court shoe with standard width.,Leather/suede,"{'UK6': {'length_cm': 24.5, 'width_cm': 10}, 'UK7': {'length_cm': 25.0, 'width_cm': 10.1}, 'UK8': {'length_cm': 25.5, 'width_cm': 10.2}, 'UK9': {'length_cm': 26.0, 'width_cm': 10.3}, 'UK10': {'length_cm': 26.5, 'width_cm': 10.4}, 'UK11': {'length_cm': 27.0, 'width_cm': 10.5}, 'UK12': {'length_cm': 27.5, 'width_cm': 10.6}, 'UK13': {'length_cm': 28.0, 'width_cm': 10.7}}"
prod_00037,Resort Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00038,Open Knit Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00039,Tech Runner Trainer,Trainer,"UK6,UK7,UK8,UK9,UK10,UK11,UK12,UK13",True to size. Court shoe with standard width.,Leather/suede,"{'UK6': {'length_cm': 24.5, 'width_cm': 10}, 'UK7': {'length_cm': 25.0, 'width_cm': 10.1}, 'UK8': {'length_cm': 25.5, 'width_cm': 10.2}, 'UK9': {'length_cm': 26.0, 'width_cm': 10.3}, 'UK10': {'length_cm': 26.5, 'width_cm': 10.4}, 'UK11': {'length_cm': 27.0, 'width_cm': 10.5}, 'UK12': {'length_cm': 27.5, 'width_cm': 10.6}, 'UK13': {'length_cm': 28.0, 'width_cm': 10.7}}"
prod_00040,Pigment Dyed Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00041,Heavy Fleece Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00042,Cargo Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00043,Vintage Wash Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00044,Wool Overcoat,Outerwear,"XS,S,M,L,XL,XXL",Tailored fit. Consider sizing up for layering.,Nylon/polyester,"{'XS': {'chest_cm': 48, 'length_cm': 62, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 64, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 66, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 68, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 70, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 72, 'sleeve_cm': 25}}"
prod_00045,Structured Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00046,Essential Relaxed Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00047,Womens Relaxed Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00048,Womens Wide-Leg Sweatpant,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00049,Womens Logo Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00050,Womens Cropped Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00051,Womens Fitted Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
